%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
66894000000,1928,66894000000,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,1.035356712372046,-0.49760120917606265,-1.082542494010509,-2.656839220756442,2.5331891102233737,0.8313664458165162,0.33972690291005136,0.0013451271504685352,0.0043125533484453795,-0.001499587571178845,0.0026578493702783075,0.002144740604419809,-0.0012312267601232091,-0.0005924221133318268,-0.0031836072598013226,1.9285653471443083,-9.452462692366312,-17.675588098063077,0.5323049555520437,2.2782976462439635,0.013633442176904442
66928000000,1929,66928000000,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,1.0353572926294952,-0.4976013307627918,-1.082542756351275,-2.6568395102073064,2.5331899551255823,0.8313667517821255,0.33972678575245663,0.0009416947665164993,0.004933889678751523,-0.0012086418518375839,0.002654629638334885,0.002050146450991274,-0.0013376951501562434,-0.0006817844312020241,-0.007674170901078604,1.950742595352138,-9.441129141500092,-17.67592177486408,0.5339972489226767,2.2763239172062812,0.012906546782970964
66962000000,1930,66962000000,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,1.0353576970399807,-0.4976031871162929,-1.0825437989215514,-2.6568396938524685,2.533189693270513,0.8313674221445915,0.3397269909004539,0.0011463499226092302,0.004727684637368415,-0.0012442335312354926,0.0025441626814776755,0.002506404008261756,-0.0015192226361214797,-0.0004643758793448354,0.013620717288524101,1.9314014443536947,-9.482890328230724,-17.666432046015505,0.5298750505455284,2.2749653749435246,0.01331760810965496
66996000000,1931,66996000000,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,1.0353603376951321,-0.49759807044726756,-1.0825433683815273,-2.6568376444873945,2.5331910176576784,0.8313685630991845,0.3397268074171116,0.0015582843134640451,0.004582379670226499,-0.002788499918430456,0.0045135688380631145,0.0008446278544624623,-0.00166319762193792,-0.002312640912873341,-0.059116937822303726,1.9169578306971526,-9.205266806003488,-17.715073142365235,0.5806755766601392,2.268446009356588,0.005714232869357481
67030000000,1932,67030000000,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,1.0353689644391295,-0.4975972445356538,-1.0825616455201894,-2.656834523658154,2.533179358817197,0.8313687140826609,0.3397252277069276,0.01594816756906187,-0.0012608838539303546,-0.029485186146587204,-0.0044082823421422316,-0.009154913473897316,0.0037591212428999643,0.0008064213769249734,-0.10474287480958845,2.1370025077989636,-9.692048007521308,-17.08059825686407,0.4171421899180063,2.2708067612612313,-0.01661982675629812
67064000000,1933,67064000000,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,1.0352957942438996,-0.49771874989709275,-1.0823882269462803,-2.656879410271584,2.533505735644507,0.8316721619573366,0.3395706285038873,-0.006192157177202054,-0.02402482610391765,0.012613044614748372,-0.010269720007253718,0.03967439731533322,0.054415413663117154,-0.024720754322643642,-0.029834561109216763,2.8017035084245956,-10.053738171982923,-17.277732877254266,0.4893366888779784,2.2179062834180736,0.00900380655162979
67098000000,1934,67098000000,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,1.035225683123235,-0.4985961111943542,-1.0817915756731011,-2.657257533111821,2.5343323591894507,0.8327768351676808,0.33911557144879456,-0.0028425330095904556,-0.008661547313561488,0.007287312689738086,0.0004867412491972164,-0.008648958795442039,-0.0021540134724932526,0.003460271716250001,0.1055904521976763,1.8064027297943215,-9.53805476098185,-18.01983918066937,0.4864524176156877,2.181565412639874,0.027220421935694482
67133000000,1935,67133000000,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,1.0342306274023905,-0.49974106529279005,-1.0801703035382548,-2.6570926484179678,2.534518453725946,0.8356562659619886,0.3389363617964145,-0.04591741060402082,-0.054232416220081646,0.07967946346957397,0.017646542927582387,0.011593576233656828,0.13986302628371589,-0.008905351383553915,0.13503924356583918,3.245112552928313,-10.037964568120575,-18.93799983709811,0.5845923176842249,2.4296151811884243,0.01116800043291099
67168000000,1936,67167000000,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,1.0322431934562406,-0.5028235688469511,-1.0763385401317365,-2.655838582139989,2.5350528190891097,0.8422424120305356,0.3386913323492644,-0.0687209708097058,-0.12550944172193534,0.13453677333043101,0.05943498885875413,0.015711230520702522,0.24646374497883233,-0.006769972859199717,0.2610195590209664,3.579180400882977,-10.50203915076926,-19.627821403866072,0.5101733874929401,2.496391924392836,-0.007757008522733395
67201000000,1937,67201000000,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,1.0299466187862087,-0.5078053923092565,-1.0706909893580532,-2.6524801955209494,2.5362999790030436,0.8518367699868357,0.3387194321931668,-0.06101571068559294,-0.15381017429135754,0.17255579491324613,0.1524609731996726,0.03688947519339705,0.27741901231654353,0.0037135289871123647,0.12653522676416837,2.586967714562562,-9.483766992876822,-19.66919399009989,0.5470541838737728,2.501243589773873,0.006422316685769178
